avg,long_bar,mean
0.27,24,0.287382779198636
0.25,50,0.22890384076254555
0.46,18,0.45030120481927716
0.26,43,0.23218806509945752
0.26,38,0.23382352941176468
0.28,43,0.2525879917184265
0.24,11,0.2621985815602837
0.26,40,0.24411764705882355
0.26,33,0.23132832080200502
0.28,31,0.26616915422885573
0.24,44,0.21838896020539156
0.49,23,0.441875
0.24,44,0.23559701492537313
0.26,33,0.2674463937621832
0.26,92,0.2622309197651663
0.29,25,0.4411924610366075
0.18,17,0.23779411764705882
0.26,16,0.23271063667556233
0.22,48,0.23724696356275307
0.24,28,0.21451314328026658
0.27,25,0.23238151309979393
0.22,9,0.2814035087719298
0.23,142,0.2435897435897436
0.24,143,0.23652968036529678
0.24,64,0.2550617283950617
0.25,61,0.24310620885963352
0.23,111,0.22211703958691909
0.26,20,0.250944669365722
0.24,132,0.22937581841990395
0.27,24,0.23159263271939326
0.26,47,0.2147326203208556
0.26,34,0.2348214285714286
0.22,27,0.23247863247863246
0.24,25,0.25479651162790695
0.27,22,0.2556160056160056
0.28,43,0.25803571428571426
0.25,47,0.22127250900360143
0.25,33,0.2329411764705882
0.24,22,0.2370326758904916
0.22,37,0.2023148148148148
0.22,33,0.22675438596491226
0.25,86,0.22383922383922383
0.24,38,0.26258175559380376
0.23,43,0.22083333333333333
0.23,19,0.21902888919028887
0.26,20,0.2089506172839506
0.25,37,0.22452208305866841
0.22,33,0.21879310344827585
0.25,88,0.22298850574712645
0.22,29,0.21092092574734814
0.24,54,0.4430722891566265
0.22,117,0.21264543784445808
0.23,23,0.21095890410958903
0.26,215,0.23956756756756759
0.49,61,0.4469101123595506
0.27,52,0.2419609532012633
0.25,54,0.2138494623655914
0.49,74,0.45071428571428573
0.24,43,0.25990712074303407
0.24,63,0.22137214137214137
0.22,31,0.20333531864204887
0.24,36,0.24583082178018886
0.27,18,0.2007435465768799
0.22,20,0.22928422928422929
0.21,30,0.1913690476190476
0.48,16,0.4483766233766233
0.24,31,0.2228116710875331
0.22,20,0.21518853695324283
0.27,26,0.24803312629399588
0.24,200,0.22931174089068826
0.21,26,0.2041549295774648
0.24,58,0.2404761904761905
0.28,55,0.2621996996996997
0.24,158,0.23811152925076975
0.26,31,0.2553682752251212
0.22,20,0.2876576576576577
0.26,20,0.24670329670329672
0.24,20,0.24615384615384617
0.22,33,0.19627295149355986
0.24,49,0.22316118935837245
0.22,52,0.2257819617370179
0.22,37,0.2586536622681201
0.24,16,0.25308641975308643
0.25,152,0.2375717305949864
0.22,12,0.22434389140271493
0.24,85,0.21911421911421913
0.25,18,0.24349945828819072
0.24,45,0.22786069651741292
0.23,36,0.26433566433566436
0.27,151,0.22982456140350874
0.25,58,0.2492872980677859
0.22,36,0.23342898134863702
0.27,32,0.26121200889547813
0.27,42,0.23713200379867047
0.27,133,0.23399999999999999
0.23,159,0.22491954022988506
0.26,209,0.21687541199736318
0.25,141,0.24210321324245376
0.21,22,0.20602409638554217
0.25,151,0.2267906976744186
0.26,49,0.2555673382820785
0.24,49,0.2509058509058509
0.46,12,0.45403225806451614
0.22,10,0.2144308943089431
