avg,long_bar,mean
0.24,484,0.23235294117647057
0.24,497,0.2021276595744681
0.24,517,0.23235294117647057
0.24,579,0.22924528301886796
0.26,444,0.22924528301886796
0.49,349,0.44456521739130433
0.26,510,0.23571428571428568
0.26,304,0.23399999999999999
0.24,517,0.23235294117647057
0.26,293,0.23235294117647057
0.26,633,0.22924528301886796
0.26,308,0.20000000000000004
0.26,417,0.23750000000000002
0.24,406,0.44299999999999995
0.26,276,0.23399999999999999
0.26,575,0.23235294117647057
0.29,351,0.22777777777777777
0.24,282,0.22924528301886796
0.26,578,0.23399999999999999
0.24,567,0.23235294117647057
0.24,361,0.23076923076923075
0.47,242,0.44264705882352934
0.24,457,0.22924528301886796
0.49,372,0.44107142857142856
0.26,488,0.23571428571428568
0.24,509,0.22924528301886796
0.24,451,0.23076923076923075
0.24,584,0.23235294117647057
0.24,204,0.20434782608695654
0.24,537,0.23076923076923075
0.49,273,0.4433673469387755
0.49,262,0.44414893617021284
0.26,419,0.23076923076923075
0.24,386,0.23076923076923075
0.24,532,0.23571428571428568
0.24,567,0.22777777777777777
0.26,384,0.23399999999999999
0.24,357,0.2021276595744681
0.24,367,0.23750000000000002
0.24,477,0.22924528301886796
0.22,343,0.2316666666666667
0.21,283,0.19056603773584904
0.24,292,0.24130434782608692
0.24,575,0.23076923076923075
0.24,282,0.23076923076923075
0.24,439,0.23399999999999999
0.24,474,0.23076923076923075
0.24,782,0.23076923076923075
0.24,264,0.2631578947368421
0.24,400,0.23076923076923075
0.24,212,0.20000000000000004
0.22,340,0.1923076923076923
0.24,583,0.22777777777777777
0.26,234,0.23571428571428568
0.26,456,0.23399999999999999
0.24,187,0.44456521739130433
0.29,311,0.22924528301886796
0.26,627,0.23399999999999999
0.24,232,0.23076923076923075
0.26,437,0.22777777777777777
0.24,461,0.2021276595744681
0.26,252,0.24333333333333332
0.24,404,0.23399999999999999
0.24,581,0.23235294117647057
0.26,326,0.22924528301886796
0.29,201,0.2021276595744681
0.24,515,0.23399999999999999
0.26,259,0.23571428571428568
0.24,433,0.23235294117647057
0.24,240,0.23399999999999999
0.24,312,0.22924528301886796
0.24,219,0.44414893617021284
0.24,334,0.2021276595744681
0.24,279,0.24130434782608692
0.26,241,0.23750000000000002
0.24,291,0.23076923076923075
0.24,393,0.23235294117647057
0.26,371,0.22924528301886796
0.24,421,0.23235294117647057
0.26,401,0.22777777777777777
0.24,206,0.23399999999999999
0.26,367,0.2393617021276596
0.24,290,0.20000000000000004
0.24,313,0.23399999999999999
0.24,468,0.1979591836734694
0.24,340,0.22924528301886796
